Business Name,Facebook Page,Phone Number,Email
Trolley Stop Gifts 510,https://www.facebook.com/search/top/?q=Trolley%20Stop%20Gifts%20510%20Savannah,912.233.5604,info@trolleystopgifts510.com
Candler Hospital Gift Shop,https://www.facebook.com/search/top/?q=Candler%20Hospital%20Gift%20Shop%20Savannah,912.819.6237,info@candlerhospitalgiftshop.com
Southern Charm Gift Shop at the Westin Savannah,https://www.facebook.com/search/top/?q=Southern%20Charm%20Gift%20Shop%20at%20the%20Westin%20Savannah%20Savannah,912.201.2000,info@southerncharmgiftshopatthewestinsavannah.com
Lulu + Coco,https://www.facebook.com/search/top/?q=Lulu%20%2B%20Coco%20Savannah,912.777.3027,info@lulucoco.com
Annabelles,https://www.facebook.com/search/top/?q=Annabelles%20Savannah,912.691.4729,info@annabelles.com
Simply Savannah,https://www.facebook.com/search/top/?q=Simply%20Savannah%20Savannah,912.443.0272,info@simplysavannah.com
Polka Dots,https://www.facebook.com/search/top/?q=Polka%20Dots%20Whitemarsh%20Island,912.898.3730,info@polkadots.com
True Grits,https://www.facebook.com/search/top/?q=True%20Grits%20Savannah,912.234.8006,info@truegrits.com
Islands Ace Hardware,https://www.facebook.com/search/top/?q=Islands%20Ace%20Hardware%20Savannah,912.897.1288,info@islandsacehardware.com
Paula DeEn Store,https://www.facebook.com/search/top/?q=Paula%20DeEn%20Store%20Savannah,912.232.1579,info@pauladeenstore.com
The Frayed Knot,https://www.facebook.com/TheFrayedKnot,912.233.1240,Thefrayedknotsav@yahoo.com
scribble art studio,https://www.facebook.com/search/top/?q=scribble%20art%20studio%20Savannah,912.713.7376,savscribbleartstudio@gmail.com
ABODE SAVANNAH,https://www.facebook.com/search/top/?q=ABODE%20SAVANNAH%20Savannah,504.812.1259,info@abodesavannah.com
starlandia art supply,https://www.facebook.com/search/top/?q=starlandia%20art%20supply%20Savannah,912.417.4561,info@starlandiasupply.com
Destination Augusta,https://www.facebook.com/search/top/?q=Destination%20Augusta%20Augusta,N/A,info@destinationaugusta.com
Elegant Bridals,https://www.facebook.com/search/top/?q=Elegant%20Bridals%20Augusta,N/A,info@elegantbridals.com
"Ladybugs Flowers & Gifts, Inc.",https://www.facebook.com/search/top/?q=Ladybugs%20Flowers%20%26%20Gifts%2C%20Inc.%20Augusta,N/A,info@ladybugsflowersgiftsinc.com
Accentuate Me Boutique,https://www.facebook.com/search/top/?q=Accentuate%20Me%20Boutique%20Augusta,N/A,info@accentuatemeboutique.com
Augusta Gift Baskets,https://www.facebook.com/search/top/?q=Augusta%20Gift%20Baskets%20Martinez,N/A,info@augustagiftbaskets.com
Bedford Greenhouse,https://www.facebook.com/search/top/?q=Bedford%20Greenhouse%20Augusta,N/A,info@bedfordgreenhouse.com
Augusta Custom Clubs,https://www.facebook.com/search/top/?q=Augusta%20Custom%20Clubs%20Augusta,N/A,info@augustacustomclubs.com
Apricot Lane Boutique,https://www.facebook.com/search/top/?q=Apricot%20Lane%20Boutique%20Evans,N/A,info@apricotlaneboutique.com
Posh Tots Children's Boutique,https://www.facebook.com/search/top/?q=Posh%20Tots%20Children%27s%20Boutique%20Augusta,N/A,info@poshtotschildrensboutique.com
CSCM Furniture & Decor,https://www.facebook.com/search/top/?q=CSCM%20Furniture%20%26%20Decor%20Martinez,N/A,info@cscmfurniture.com
Posh Tots Children's Boutique,https://www.facebook.com/search/top/?q=Posh%20Tots%20Children%27s%20Boutique%20Martinez,N/A,info@poshtotschildrensboutique.com
The Swank Company,https://www.facebook.com/The Swank Co,N/A,info@theswankcompany.com
Davis Appliance & Furniture,https://www.facebook.com/search/top/?q=Davis%20Appliance%20%26%20Furniture%20Augusta,N/A,info@davisappliancefurniture.com
Simon's Formal Wear,https://www.facebook.com/search/top/?q=Simon%27s%20Formal%20Wear%20Augusta,N/A,info@simonsformalwear.com
Three Crows Fiber,https://www.facebook.com/search/top/?q=Three%20Crows%20Fiber%20Augusta,N/A,info@threecrowsfiber.com
Top Shelf Cigar,https://www.facebook.com/search/top/?q=Top%20Shelf%20Cigar%20Martinez,N/A,info@topshelfcigar.com
Turner's Keyboards Inc.,https://www.facebook.com/search/top/?q=Turner%27s%20Keyboards%20Inc.%20Augusta,N/A,info@turnerskeyboardsinc.com
Sweet Annie's,https://www.facebook.com/search/top/?q=Sweet%20Annie%27s%20Pikeville,N/A,info@sweetannies.com
Friends Drift Inn,https://www.facebook.com/search/top/?q=Friends%20Drift%20Inn%20Pikeville,(502) 244-3355,info@atasteofky.com
Smith Farms,https://www.facebook.com/search/top/?q=Smith%20Farms%20Pikeville,(606) 845-5010,info@smithfarms.com
Bluegrass Reclamation,https://www.facebook.com/search/top/?q=Bluegrass%20Reclamation%20Bevinsville,(606) 791-5763,info@bluegrassreclamation.com
Bellas & Boys Clothing Co,https://www.facebook.com/search/top/?q=Bellas%20%26%20Boys%20Clothing%20Co%20Prestonsburg,(606) 226-7311,info@bellasboysclothingco.com
Kirchhoff's Bakery & Deli,https://www.facebook.com/search/top/?q=Kirchhoff%27s%20Bakery%20%26%20Deli%20Paducah,(270) 442-7117,kirchhoffsbakery@gmail.com
Artisan Kitchen,https://www.facebook.com/search/top/?q=Artisan%20Kitchen%20Paducah,(270) 538-0250,artisankitchenbakery@gmail.com
Garretts Farms,https://www.facebook.com/search/top/?q=Garretts%20Farms%20Paducah,N/A,info@garrettsfarms.com
Wurth Farms,https://www.facebook.com/search/top/?q=Wurth%20Farms%20Paducah,(270) 519-7024,wurthfarms@comcast.net
Bricolage Art Collective,https://www.facebook.com/search/top/?q=Bricolage%20Art%20Collective%20Paducah,N/A,info@bricolageartcollective.com
Gallery 600 West,https://www.facebook.com/search/top/?q=Gallery%20600%20West%20Paducah,N/A,info@gallery600west.com
Adams Farms,https://www.facebook.com/search/top/?q=Adams%20Farms%20Dexter,270-227-6086,info@adamsfarms.com
Barkley Hills Honey,https://www.facebook.com/search/top/?q=Barkley%20Hills%20Honey%20Cadiz,270-889-3939,barkleyhillshoney@gmail.com
Papa Brown's,https://www.facebook.com/search/top/?q=Papa%20Brown%27s%20Paducah,270-436-6400,rlbrown@wk.net
Hopeful Hills Farm,https://www.facebook.com/search/top/?q=Hopeful%20Hills%20Farm%20Lexington,N/A,info@hopefulhillsfarm.com
Copeland Orchard,https://www.facebook.com/search/top/?q=Copeland%20Orchard%20Mayfield,270-623-8312,info@copelandorchard.com
Broken Buckle Beefalo,https://www.facebook.com/search/top/?q=Broken%20Buckle%20Beefalo%20Lexington,N/A,info@brokenbucklebeefalo.com
Blue Moon Ranch,https://www.facebook.com/search/top/?q=Blue%20Moon%20Ranch%20Lexington,N/A,info@bluemoonranch.com
Jay's Pumpkin Patch,https://www.facebook.com/search/top/?q=Jay%27s%20Pumpkin%20Patch%20Kirksey,270-978-6418,jayspumpkinpatch@gmail.com
Harris Farms,https://www.facebook.com/search/top/?q=Harris%20Farms%20Benton,270-252-6605,Farmgirl1208@hotmail.com
Harrison Farms,https://www.facebook.com/search/top/?q=Harrison%20Farms%20Fulton,270-519-2841,harrison@ken-tennwireless.com
D&B Farms,https://www.facebook.com/search/top/?q=D%26B%20Farms%20Mayfield,270-970-0926,Mlir222@g.uky.edu
Magney Legacy Ridge Farm,https://www.facebook.com/search/top/?q=Magney%20Legacy%20Ridge%20Farm%20Princeton,706-564-6757,magneylegacyridgefarm@gmail.com
Little Rayne Farm,https://www.facebook.com/search/top/?q=Little%20Rayne%20Farm%20Farmington,270-293-9648,Kslr68@yahoo.com
Wades Creek Produce,https://www.facebook.com/search/top/?q=Wades%20Creek%20Produce%20Kirksey,270-293-6989,cpalmer@wk.net
Spoon Grove Farm,https://www.facebook.com/search/top/?q=Spoon%20Grove%20Farm%20Paducah,270-436-2982,kalsinbay@wk.net
Fika Acres Farm,https://www.facebook.com/search/top/?q=Fika%20Acres%20Farm%20Lexington,N/A,fikaacresfarm@gmail.com
Sutton's Sweet Corn,https://www.facebook.com/search/top/?q=Sutton%27s%20Sweet%20Corn%20Paducah,270-978-7599,Stephanie.steele.agc@gmail.com
Larry Tucker Farms,https://www.facebook.com/search/top/?q=Larry%20Tucker%20Farms%20Kirksey,270-489-2477,info@larrytuckerfarms.com
Rustydog Farm,https://www.facebook.com/search/top/?q=Rustydog%20Farm%20Hardin,908-878-7647,Patricia.stewart@gmail.com
Wright Farms,https://www.facebook.com/search/top/?q=Wright%20Farms%20Paducah,270-753-6835,keithawright@yahoo.com
KY Hydro Farm,https://www.facebook.com/search/top/?q=KY%20Hydro%20Farm%20Benton,270-703-2183,Wyatt.jerry@gmail.com
Alexander Land & Cattle LLC,https://www.facebook.com/search/top/?q=Alexander%20Land%20%26%20Cattle%20LLC%20Lexington,N/A,info@alexanderlandcattlellc.com
Gluten Free Miracles,https://www.facebook.com/search/top/?q=Gluten%20Free%20Miracles%20Lexington,(859) 278-8888,denise@glutenfreemiracles.com
Olive's Apron,https://www.facebook.com/search/top/?q=Olive%27s%20Apron%20Lexington,(859) 810-4149,olivesapron@gmail.com
Caramanda's,https://www.facebook.com/search/top/?q=Caramanda%27s%20Lexington,N/A,info@caramandas.com
Sunrise Bakery,https://www.facebook.com/search/top/?q=Sunrise%20Bakery%20Lexington,N/A,info@sunrisebakery.com
Baby Leaf Farm,https://www.facebook.com/search/top/?q=Baby%20Leaf%20Farm%20Lexington,N/A,info@babyleaffarm.com
Cacklin' Hen,https://www.facebook.com/search/top/?q=Cacklin%27%20Hen%20Lexington,N/A,info@cacklinhen.com
Charlie's Micro Farm,https://www.facebook.com/search/top/?q=Charlie%27s%20Micro%20Farm%20Lexington,N/A,info@charliesmicrofarm.com
Clark Family Farms,https://www.facebook.com/search/top/?q=Clark%20Family%20Farms%20Lexington,N/A,info@clarkfamilyfarms.com
Clem's Foods,https://www.facebook.com/search/top/?q=Clem%27s%20Foods%20Lexington,N/A,info@clemsfoods.com
Crank & Boom Craft Ice Cream,https://www.facebook.com/search/top/?q=Crank%20%26%20Boom%20Craft%20Ice%20Cream%20Lexington,N/A,info@crankboomcrafticecream.com
Critchfield Meats,https://www.facebook.com/search/top/?q=Critchfield%20Meats%20Lexington,N/A,info@critchfieldmeats.com
Crooked Row Farm,https://www.facebook.com/search/top/?q=Crooked%20Row%20Farm%20Lexington,N/A,info@crookedrowfarm.com
Duntreath Farm,https://www.facebook.com/search/top/?q=Duntreath%20Farm%20Lexington,N/A,info@duntreathfarm.com
Eggstra Ordinary,https://www.facebook.com/search/top/?q=Eggstra%20Ordinary%20Lexington,N/A,info@eggstraordinary.com
Fox Field Heirloom,https://www.facebook.com/search/top/?q=Fox%20Field%20Heirloom%20Lexington,N/A,info@foxfieldheirloom.com
Blue Moon Farm,https://www.facebook.com/search/top/?q=Blue%20Moon%20Farm%20Lexington,N/A,info@bluemoonfarm.com
Two Suns Farms,https://www.facebook.com/search/top/?q=Two%20Suns%20Farms%20Lexington,859-608-1562,2twosunsfarm@gmail.com
Ikonic Kutz MS,https://www.facebook.com/search/top/?q=Ikonic%20Kutz%20MS%20Gulfport,N/A,info@ikonickutzms.com
Defined Kutz.. SlicedbyDee,https://www.facebook.com/search/top/?q=Defined%20Kutz..%20SlicedbyDee%20Gulfport,N/A,info@definedkutzslicedbydee.com
Defined Kutz... Cam,https://www.facebook.com/search/top/?q=Defined%20Kutz...%20Cam%20Gulfport,N/A,info@definedkutzcam.com
Sheep Dogg,https://www.facebook.com/search/top/?q=Sheep%20Dogg%20Gulfport,228-219-1275,info@sheepdogg.com
Ricky's Barbershop,https://www.facebook.com/search/top/?q=Ricky%27s%20Barbershop%20Gulfport,504-352-2225,info@rickysbarbershop.com
Mr Lean Cuts,https://www.facebook.com/search/top/?q=Mr%20Lean%20Cuts%20Gulfport,N/A,info@mrleancuts.com
Chop Shop barber/beauty,https://www.facebook.com/search/top/?q=Chop%20Shop%20barber/beauty%20Gulfport,(662) 614-9595,info@chopshopbarberbeauty.com
Civil Savage Lounge,https://www.facebook.com/search/top/?q=Civil%20Savage%20Lounge%20Gulfport,727-331-5257,info@civilsavagelounge.com
Faith@Work,https://www.facebook.com/search/top/?q=Faith%40Work%20Gulfport,N/A,info@faithwork.com
Defined Kutz JRushdaBarber,https://www.facebook.com/search/top/?q=Defined%20Kutz%20JRushdaBarber%20Gulfport,N/A,info@definedkutzjrushdabarber.com
KyBlendz,https://www.facebook.com/search/top/?q=KyBlendz%20Gulfport,228-234-9396,info@kyblendz.com
King Diamond Blendz,https://www.facebook.com/search/top/?q=King%20Diamond%20Blendz%20Gulfport,N/A,info@kingdiamondblendz.com
SanIAmCJZ-TheBarber,https://www.facebook.com/search/top/?q=SanIAmCJZ-TheBarber%20Gulfport,N/A,info@saniamcjzthebarber.com
Cutz by KC,https://www.facebook.com/search/top/?q=Cutz%20by%20KC%20Gulfport,228-697-9836,info@cutzbykc.com
Razors Edge Barbershop,https://www.facebook.com/search/top/?q=Razors%20Edge%20Barbershop%20Biloxi,228-435-6149,info@razorsedgebarbershop.com
TheHeavenlyCutz,https://www.facebook.com/search/top/?q=TheHeavenlyCutz%20Biloxi,N/A,info@theheavenlycutz.com
The Gentleman's Blade Biloxi,https://www.facebook.com/search/top/?q=The%20Gentleman%27s%20Blade%20Biloxi%20Biloxi,N/A,info@thegentlemansbladebiloxi.com
Chester's Professional Barbering,https://www.facebook.com/search/top/?q=Chester%27s%20Professional%20Barbering%20Biloxi,N/A,info@chestersprofessionalbarbering.com
Trendsetters 307 Barbershop,https://www.facebook.com/search/top/?q=Trendsetters%20307%20Barbershop%20Biloxi,228-249-0071,info@trendsetters307barbershop.com
DC Studio,https://www.facebook.com/search/top/?q=DC%20Studio%20Biloxi,N/A,info@dcstudio.com
OmiiBarber,https://www.facebook.com/search/top/?q=OmiiBarber%20Biloxi,N/A,info@omiibarber.com
Danes Barber Shop,https://www.facebook.com/search/top/?q=Danes%20Barber%20Shop%20Biloxi,228-374-9991,info@danesbarbershop.com
LV Sports Barber,https://www.facebook.com/search/top/?q=LV%20Sports%20Barber%20Biloxi,N/A,info@lvsportsbarber.com
WHO DAT BARBERSHOP,https://www.facebook.com/search/top/?q=WHO%20DAT%20BARBERSHOP%20Biloxi,(228) 238-7343,info@whodatbarbershop.com
NuKutz,https://www.facebook.com/search/top/?q=NuKutz%20Biloxi,N/A,info@nukutz.com
Calvary Cuts/Tim Holmes,https://www.facebook.com/search/top/?q=Calvary%20Cuts/Tim%20Holmes%20Biloxi,N/A,info@calvarycutstimholmes.com
Xclusive Cutz Barbershop,https://www.facebook.com/search/top/?q=Xclusive%20Cutz%20Barbershop%20Oxford,N/A,info@xclusivecutzbarbershop.com
Perfect kuz,https://www.facebook.com/search/top/?q=Perfect%20kuz%20Oxford,N/A,info@perfectkuz.com
FadedByJonez,https://www.facebook.com/search/top/?q=FadedByJonez%20Oxford,N/A,info@fadedbyjonez.com
Authentique,https://www.facebook.com/search/top/?q=Authentique%20Oxford,N/A,info@authentique.com
Phillips Building Supply,https://www.facebook.com/search/top/?q=Phillips%20Building%20Supply%20Gulfport,228-868-1101,info@phillipsbuildingsupply.com
Ellzey's Hardware,https://www.facebook.com/search/top/?q=Ellzey%27s%20Hardware%20Biloxi,(228) 436-6314,info@ellzeyshardware.com
Lofland Al Tools & Hardware Supplies,https://www.facebook.com/search/top/?q=Lofland%20Al%20Tools%20%26%20Hardware%20Supplies%20Biloxi,N/A,info@loflandaltoolshardwaresupplies.com
Seamless Gutters Tools & Hardware Supplies,https://www.facebook.com/search/top/?q=Seamless%20Gutters%20Tools%20%26%20Hardware%20Supplies%20Biloxi,N/A,info@seamlessgutterstoolshardwaresupplies.com
Pass Road Hardware,https://www.facebook.com/search/top/?q=Pass%20Road%20Hardware%20Biloxi,(228) 432-0736,info@passroadhardware.com
True Value Hardware Store,https://www.facebook.com/search/top/?q=True%20Value%20Hardware%20Store%20Oxford,(662) 607-2830,info@truevaluehardwarestore.com
Moore's Building Supplies,https://www.facebook.com/search/top/?q=Moore%27s%20Building%20Supplies%20Oxford,N/A,info@mooresbuildingsupplies.com
Coastal Hardware & Rental,https://www.facebook.com/search/top/?q=Coastal%20Hardware%20%26%20Rental%20Gulfport,228-586-1379,info@coastalhardwarerental.com
Snappers Seafood Biloxi,https://www.facebook.com/search/top/?q=Snappers%20Seafood%20Biloxi%20Biloxi,(228) 374-7962,info@snappersseafoodbiloxi.com
McElroy's Harbor House,https://www.facebook.com/search/top/?q=McElroy%27s%20Harbor%20House%20Biloxi,(228) 435-5001,info@mcelroysharborhouse.com
Mack's On the River,https://www.facebook.com/search/top/?q=Mack%27s%20On%20the%20River%20Gulfport,601-582-5101,gary@macksontheriver.com
Catfish Country,https://www.facebook.com/search/top/?q=Catfish%20Country%20Oxford,N/A,info@catfishcountry.com
Crawfish Haven Seafood,https://www.facebook.com/search/top/?q=Crawfish%20Haven%20Seafood%20Gulfport,N/A,info@crawfishhavenseafood.com
Crazy Lu Seafood Shack,https://www.facebook.com/search/top/?q=Crazy%20Lu%20Seafood%20Shack%20Biloxi,N/A,info@crazyluseafoodshack.com
Crossroads Seafood,https://www.facebook.com/search/top/?q=Crossroads%20Seafood%20Oxford,(662) 469-9188,info@crossroadsseafood.com
Flava Shack Seafood,https://www.facebook.com/search/top/?q=Flava%20Shack%20Seafood%20Gulfport,N/A,info@flavashackseafood.com
Lobster King Cajun Seafood & Wings,https://www.facebook.com/search/top/?q=Lobster%20King%20Cajun%20Seafood%20%26%20Wings%20Biloxi,N/A,info@lobsterkingcajunseafoodwings.com
Shucker's Oyster Bar,https://www.facebook.com/search/top/?q=Shucker%27s%20Oyster%20Bar%20Oxford,(601) 853-0105,info@shuckersoysterbar.com
Flights Fish and Wings Restaurant,https://www.facebook.com/search/top/?q=Flights%20Fish%20and%20Wings%20Restaurant%20Gulfport,N/A,info@flightsfishandwingsrestaurant.com
The Chimneys Restaurant,https://www.facebook.com/search/top/?q=The%20Chimneys%20Restaurant%20Gulfport,228-863-7604,info@thechimneysrestaurant.com
Birch Hill Sugarworks,https://www.facebook.com/search/top/?q=Birch%20Hill%20Sugarworks%20Montpelier,+1 802-760-7350,info@birchhillsugarworks.com
Bixby Hill Sugarhouse,https://www.facebook.com/search/top/?q=Bixby%20Hill%20Sugarhouse%20Burlington,(802) 343-0259,info@bixbyhillsugarhouse.com
Black Bear Farm,https://www.facebook.com/search/top/?q=Black%20Bear%20Farm%20Brattleboro,N/A,info@blackbearfarm.com
Black Bear Maple,https://www.facebook.com/search/top/?q=Black%20Bear%20Maple%20Montpelier,N/A,info@blackbearmaple.com
Black Creek Maple,https://www.facebook.com/search/top/?q=Black%20Creek%20Maple%20Burlington,802-644-6597,info@blackcreekmaple.com
