business_name,niche,city_search,website_url,website_score,validated_phone,validated_email,facebook_url,instagram_url,status,email_status,email_reason
salacia salts,Georgia,"Savannah, GA",None,1,478.561.0181,N/A,https://www.facebook.com/search/top/?q=salacia%20salts%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
13 secrets,Georgia,"Savannah, GA",None,1,912.484.0985,N/A,https://www.facebook.com/search/top/?q=13%20secrets%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Wild cat archery,Georgia,"Savannah, GA",None,1,912.965.9453,N/A,https://www.facebook.com/search/top/?q=Wild%20cat%20archery%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Superbloom: sip. shop. make,Georgia,"Savannah, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Superbloom%3A%20sip.%20shop.%20make%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
PENNY'S GIFT BASKETS,Georgia,"Savannah, GA",None,1,912.335.2459,N/A,https://www.facebook.com/search/top/?q=PENNY%27S%20GIFT%20BASKETS%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Yaupon Teahouse + Apothecary,Georgia,"Savannah, GA",None,1,912.200.4783,N/A,https://www.facebook.com/search/top/?q=Yaupon%20Teahouse%20%2B%20Apothecary%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
RMC BOUTIQUE,Georgia,"Savannah, GA",None,1,912.335.2389,N/A,https://www.facebook.com/search/top/?q=RMC%20BOUTIQUE%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Trolley Stop Gifts 510,Georgia,"Savannah, GA",None,1,912.233.5604,N/A,https://www.facebook.com/search/top/?q=Trolley%20Stop%20Gifts%20510%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Candler Hospital Gift Shop,Georgia,"Savannah, GA",None,1,912.819.6237,N/A,https://www.facebook.com/search/top/?q=Candler%20Hospital%20Gift%20Shop%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Southern Charm Gift Shop at the Westin Savannah,Georgia,"Savannah, GA",None,1,912.201.2000,N/A,https://www.facebook.com/search/top/?q=Southern%20Charm%20Gift%20Shop%20at%20the%20Westin%20Savannah%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Lulu + Coco,Georgia,"Savannah, GA",None,1,912.777.3027,N/A,https://www.facebook.com/search/top/?q=Lulu%20%2B%20Coco%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Annabelles,Georgia,"Savannah, GA",None,1,912.691.4729,N/A,https://www.facebook.com/search/top/?q=Annabelles%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Simply Savannah,Georgia,"Savannah, GA",None,1,912.443.0272,N/A,https://www.facebook.com/search/top/?q=Simply%20Savannah%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Polka Dots,Georgia,"Whitemarsh Island, GA",None,1,912.898.3730,N/A,https://www.facebook.com/search/top/?q=Polka%20Dots%20Whitemarsh%20Island,,NO_WEBSITE,BAD,Missing / N/A
True Grits,Georgia,"Savannah, GA",None,1,912.234.8006,N/A,https://www.facebook.com/search/top/?q=True%20Grits%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Islands Ace Hardware,Georgia,"Savannah, GA",None,1,912.897.1288,N/A,https://www.facebook.com/search/top/?q=Islands%20Ace%20Hardware%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Paula DeEn Store,Georgia,"Savannah, GA",None,1,912.232.1579,N/A,https://www.facebook.com/search/top/?q=Paula%20DeEn%20Store%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
ABODE SAVANNAH,Georgia,"Savannah, GA",None,1,504.812.1259,N/A,https://www.facebook.com/search/top/?q=ABODE%20SAVANNAH%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
starlandia art supply,Georgia,"Savannah, GA",None,1,912.417.4561,info@starlandiasupply.com,https://www.facebook.com/search/top/?q=starlandia%20art%20supply%20Savannah,,NO_WEBSITE,BAD,Generic prefix (info@)
Destination Augusta,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Destination%20Augusta%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Elegant Bridals,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Elegant%20Bridals%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
"Ladybugs Flowers & Gifts, Inc.",Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Ladybugs%20Flowers%20%26%20Gifts%2C%20Inc.%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Accentuate Me Boutique,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Accentuate%20Me%20Boutique%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Augusta Gift Baskets,Georgia,"Martinez, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Augusta%20Gift%20Baskets%20Martinez,,NO_WEBSITE,BAD,Missing / N/A
Bedford Greenhouse,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Bedford%20Greenhouse%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Augusta Custom Clubs,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Augusta%20Custom%20Clubs%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Apricot Lane Boutique,Georgia,"Evans, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Apricot%20Lane%20Boutique%20Evans,,NO_WEBSITE,BAD,Missing / N/A
Posh Tots Children's Boutique,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Posh%20Tots%20Children%27s%20Boutique%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
CSCM Furniture & Decor,Georgia,"Martinez, GA",None,1,N/A,info@cscmfurniture.com,https://www.facebook.com/search/top/?q=CSCM%20Furniture%20%26%20Decor%20Martinez,,NO_WEBSITE,BAD,Generic prefix (info@)
Posh Tots Children's Boutique,Georgia,"Martinez, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Posh%20Tots%20Children%27s%20Boutique%20Martinez,,NO_WEBSITE,BAD,Missing / N/A
The Swank Company,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/The Swank Co,https://www.instagram.com/shopswankco,NO_WEBSITE,BAD,Missing / N/A
Davis Appliance & Furniture,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Davis%20Appliance%20%26%20Furniture%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Simon's Formal Wear,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Simon%27s%20Formal%20Wear%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Three Crows Fiber,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Three%20Crows%20Fiber%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Top Shelf Cigar,Georgia,"Martinez, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Top%20Shelf%20Cigar%20Martinez,,NO_WEBSITE,BAD,Missing / N/A
Turner's Keyboards Inc.,Georgia,"Augusta, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Turner%27s%20Keyboards%20Inc.%20Augusta,,NO_WEBSITE,BAD,Missing / N/A
Sweet Annie's,Kentucky,"Pikeville, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Sweet%20Annie%27s%20Pikeville,,NO_WEBSITE,BAD,Missing / N/A
Friends Drift Inn,Kentucky,"Pikeville, KY",None,1,(502) 244-3355,info@atasteofky.com,https://www.facebook.com/search/top/?q=Friends%20Drift%20Inn%20Pikeville,,NO_WEBSITE,BAD,Generic prefix (info@)
Smith Farms,Kentucky,"Pikeville, KY",None,1,(606) 845-5010,N/A,https://www.facebook.com/search/top/?q=Smith%20Farms%20Pikeville,,NO_WEBSITE,BAD,Missing / N/A
Bluegrass Reclamation,Kentucky,"Bevinsville, KY",None,1,(606) 791-5763,N/A,https://www.facebook.com/search/top/?q=Bluegrass%20Reclamation%20Bevinsville,,NO_WEBSITE,BAD,Missing / N/A
Bellas & Boys Clothing Co,Kentucky,"Prestonsburg, KY",None,1,(606) 226-7311,N/A,https://www.facebook.com/search/top/?q=Bellas%20%26%20Boys%20Clothing%20Co%20Prestonsburg,,NO_WEBSITE,BAD,Missing / N/A
Garretts Farms,Kentucky,"Paducah, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Garretts%20Farms%20Paducah,,NO_WEBSITE,BAD,Missing / N/A
Bricolage Art Collective,Kentucky,"Paducah, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Bricolage%20Art%20Collective%20Paducah,,NO_WEBSITE,BAD,Missing / N/A
Gallery 600 West,Kentucky,"Paducah, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Gallery%20600%20West%20Paducah,,NO_WEBSITE,BAD,Missing / N/A
Adams Farms,Kentucky,"Dexter, KY",None,1,270-227-6086,N/A,https://www.facebook.com/search/top/?q=Adams%20Farms%20Dexter,,NO_WEBSITE,BAD,Missing / N/A
Hopeful Hills Farm,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Hopeful%20Hills%20Farm%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Copeland Orchard,Kentucky,"Mayfield, KY",None,1,270-623-8312,N/A,https://www.facebook.com/search/top/?q=Copeland%20Orchard%20Mayfield,,NO_WEBSITE,BAD,Missing / N/A
Broken Buckle Beefalo,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Broken%20Buckle%20Beefalo%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Blue Moon Ranch,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blue%20Moon%20Ranch%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
D&B Farms,Kentucky,"Mayfield, KY",None,1,270-970-0926,Mlir222@g.uky.edu,https://www.facebook.com/search/top/?q=D%26B%20Farms%20Mayfield,,NO_WEBSITE,BAD,Academic email (g.uky.edu)
Larry Tucker Farms,Kentucky,"Kirksey, KY",None,1,270-489-2477,N/A,https://www.facebook.com/search/top/?q=Larry%20Tucker%20Farms%20Kirksey,,NO_WEBSITE,BAD,Missing / N/A
Alexander Land & Cattle LLC,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Alexander%20Land%20%26%20Cattle%20LLC%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Caramanda's,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Caramanda%27s%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Sunrise Bakery,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Sunrise%20Bakery%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Baby Leaf Farm,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Baby%20Leaf%20Farm%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Cacklin' Hen,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Cacklin%27%20Hen%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Charlie's Micro Farm,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Charlie%27s%20Micro%20Farm%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Clark Family Farms,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Clark%20Family%20Farms%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Clem's Foods,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Clem%27s%20Foods%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Crank & Boom Craft Ice Cream,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Crank%20%26%20Boom%20Craft%20Ice%20Cream%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Critchfield Meats,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Critchfield%20Meats%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Crooked Row Farm,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Crooked%20Row%20Farm%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Duntreath Farm,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Duntreath%20Farm%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Eggstra Ordinary,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Eggstra%20Ordinary%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Fox Field Heirloom,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Fox%20Field%20Heirloom%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Blue Moon Farm,Kentucky,"Lexington, KY",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Blue%20Moon%20Farm%20Lexington,,NO_WEBSITE,BAD,Missing / N/A
Ikonic Kutz MS,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Ikonic%20Kutz%20MS%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Defined Kutz.. SlicedbyDee,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Defined%20Kutz..%20SlicedbyDee%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Defined Kutz... Cam,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Defined%20Kutz...%20Cam%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Sheep Dogg,Mississippi,"Gulfport, MS",None,1,228-219-1275,N/A,https://www.facebook.com/search/top/?q=Sheep%20Dogg%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Ricky's Barbershop,Mississippi,"Gulfport, MS",None,1,504-352-2225,N/A,https://www.facebook.com/search/top/?q=Ricky%27s%20Barbershop%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Mr Lean Cuts,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Mr%20Lean%20Cuts%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Chop Shop barber/beauty,Mississippi,"Gulfport, MS",None,1,(662) 614-9595,N/A,https://www.facebook.com/search/top/?q=Chop%20Shop%20barber/beauty%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Civil Savage Lounge,Mississippi,"Gulfport, MS",None,1,727-331-5257,N/A,https://www.facebook.com/search/top/?q=Civil%20Savage%20Lounge%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Faith@Work,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Faith%40Work%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
Defined Kutz JRushdaBarber,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Defined%20Kutz%20JRushdaBarber%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
KyBlendz,Mississippi,"Gulfport, MS",None,1,228-234-9396,N/A,https://www.facebook.com/search/top/?q=KyBlendz%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
King Diamond Blendz,Mississippi,"Gulfport, MS",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=King%20Diamond%20Blendz%20Gulfport,,NO_WEBSITE,BAD,Missing / N/A
